Licenca;ID_Unidade;Nome_Unidade;ID_Fazenda;Nome_Fazenda;ID_Regiao;Nome_Regiao;ID_Safra;Bloco;Talhao;ID_Variedade;Nome_Variedade;ID_Maturacao;Nome_Maturacao;ID_Corte;Nome_Corte;ID_Solo;Nome_Solo;Sigla_Solo;ID_Ambiente;Nome_Ambiente;ID_Espacamento;Nome_Espacamento;Distancia (km);Area total (ha);Area producao (ha);Toneladas (ton);Plantio (dd/mm/yyyy);Corte Anterior (dd/mm/yyyy)
1;1;Usina A;1;SONHO AZUL;1;A;1;101;11;96;CTC 9004;1;Precoce;2;2. Corte;846;Solo 846;Solo 846;0;;;;34,5;21,3;21,3;1704;08/07/2016;08/07/2016
1;1;Usina A;1;SONHO AZUL;1;A;1;101;12;96;CTC 9004;1;Precoce;2;2. Corte;846;Solo 846;Solo 846;0;;;;34,5;9,87;9,87;789,6;08/07/2016;08/07/2016
1;1;Usina A;1;SONHO AZUL;1;A;1;101;13;96;CTC 9004;1;Precoce;2;2. Corte;846;Solo 846;Solo 846;0;;;;34,5;11,16;11,16;870,48;08/07/2016;08/07/2016
1;1;Usina A;1;SONHO AZUL;1;A;1;101;21;96;CTC 9004;1;Precoce;2;2. Corte;846;Solo 846;Solo 846;0;;;;34,5;25,63;25,63;1999,14;08/07/2016;08/07/2016
1;1;Usina A;1;SONHO AZUL;1;A;1;101;22;96;CTC 9004;1;Precoce;2;2. Corte;846;Solo 846;Solo 846;0;;;;34,5;30,98;30,98;2416,44;08/07/2016;08/07/2016
1;1;Usina A;1;SONHO AZUL;1;A;1;101;23;96;CTC 9004;1;Precoce;2;2. Corte;846;Solo 846;Solo 846;0;;;;34,5;9,84;9,84;767,52;08/07/2016;08/07/2016
1;1;Usina A;1;SONHO AZUL;1;A;1;102;24;96;CTC 9004;1;Precoce;2;2. Corte;846;Solo 846;Solo 846;0;;;;35,6;9,58;9,58;747,24;08/07/2016;08/07/2016
1;1;Usina A;1;SONHO AZUL;1;A;1;102;25;96;CTC 9004;1;Precoce;2;2. Corte;846;Solo 846;Solo 846;0;;;;35,6;25,82;25,82;2013,96;08/07/2016;08/07/2016
1;1;Usina A;1;SONHO AZUL;1;A;1;102;36;96;CTC 9004;1;Precoce;2;2. Corte;846;Solo 846;Solo 846;0;;;;35,6;10,7;10,7;834,6;08/07/2016;08/07/2016
1;1;Usina A;1;SONHO AZUL;1;A;1;102;61;96;CTC 9004;1;Precoce;2;2. Corte;846;Solo 846;Solo 846;0;;;;35,6;18,52;18,52;1444,56;08/07/2016;08/07/2016
1;1;Usina A;1;SONHO AZUL;1;A;1;102;62;96;CTC 9004;1;Precoce;2;2. Corte;846;Solo 846;Solo 846;0;;;;35,6;12,25;12,25;955,5;08/07/2016;08/07/2016
1;1;Usina A;1;SONHO AZUL;1;A;1;102;63;96;CTC 9004;1;Precoce;2;2. Corte;846;Solo 846;Solo 846;0;;;;35,6;23,8;23,8;1856,4;08/07/2016;08/07/2016
1;1;Usina A;1;SONHO AZUL;1;A;1;102;64;96;CTC 9004;1;Precoce;2;2. Corte;846;Solo 846;Solo 846;0;;;;35,6;23,64;23,64;1843,92;08/07/2016;08/07/2016
1;1;Usina A;1;SONHO AZUL;1;A;1;102;65;96;CTC 9004;1;Precoce;2;2. Corte;846;Solo 846;Solo 846;0;;;;35,6;22,16;22,16;1728,48;08/07/2016;08/07/2016
1;1;Usina A;1;SONHO AZUL;1;A;1;102;66;96;CTC 9004;1;Precoce;2;2. Corte;846;Solo 846;Solo 846;0;;;;35,6;25,58;25,58;1995,24;08/07/2016;08/07/2016
1;1;Usina A;1;SONHO AZUL;1;A;1;102;71;96;CTC 9004;1;Precoce;2;2. Corte;846;Solo 846;Solo 846;0;;;;35,6;11,72;11,72;914,16;08/07/2016;08/07/2016
1;1;Usina A;1;SONHO AZUL;1;A;1;102;72;96;CTC 9004;1;Precoce;2;2. Corte;846;Solo 846;Solo 846;0;;;;35,6;14,25;14,25;1111,5;08/07/2016;08/07/2016
1;1;Usina A;1;SONHO AZUL;1;A;1;103;31;96;CTC 9004;1;Precoce;2;2. Corte;846;Solo 846;Solo 846;0;;;;36,4;24,37;24,37;1827,75;08/07/2016;08/07/2016
1;1;Usina A;1;SONHO AZUL;1;A;1;103;32;96;CTC 9004;1;Precoce;2;2. Corte;846;Solo 846;Solo 846;0;;;;36,4;19,52;19,52;1464;08/07/2016;08/07/2016
1;1;Usina A;1;SONHO AZUL;1;A;1;103;33;96;CTC 9004;1;Precoce;2;2. Corte;846;Solo 846;Solo 846;0;;;;36,4;15,56;15,56;1167;08/07/2016;08/07/2016
1;1;Usina A;1;SONHO AZUL;1;A;1;103;34;96;CTC 9004;1;Precoce;2;2. Corte;846;Solo 846;Solo 846;0;;;;36,4;3,84;3,84;288;08/07/2016;08/07/2016
1;1;Usina A;1;SONHO AZUL;1;A;1;103;41;96;CTC 9004;1;Precoce;2;2. Corte;846;Solo 846;Solo 846;0;;;;36,4;18,73;18,73;1404,75;08/07/2016;08/07/2016
1;1;Usina A;1;SONHO AZUL;1;A;1;103;42;96;CTC 9004;1;Precoce;2;2. Corte;846;Solo 846;Solo 846;0;;;;36,4;20,13;20,13;1509,75;08/07/2016;08/07/2016
1;1;Usina A;1;SONHO AZUL;1;A;1;103;43;96;CTC 9004;1;Precoce;2;2. Corte;846;Solo 846;Solo 846;0;;;;36,4;5,88;5,88;441;08/07/2016;08/07/2016
1;1;Usina A;1;SONHO AZUL;1;A;1;103;51;96;CTC 9004;1;Precoce;2;2. Corte;846;Solo 846;Solo 846;0;;;;36,4;8,32;8,32;624;08/07/2016;08/07/2016
1;1;Usina A;1;SONHO AZUL;1;A;1;103;52;96;CTC 9004;1;Precoce;2;2. Corte;846;Solo 846;Solo 846;0;;;;36,4;21,84;21,84;1638;08/07/2016;08/07/2016
1;1;Usina A;1;SONHO AZUL;1;A;1;104;35;183;CTC 9001;1;Precoce;2;2. Corte;846;Solo 846;Solo 846;0;;;;36,4;5,27;5,27;411,06;08/07/2016;08/07/2016
1;1;Usina A;1;SONHO AZUL;1;A;1;104;37;183;CTC 9001;1;Precoce;2;2. Corte;846;Solo 846;Solo 846;0;;;;36,4;9,29;9,29;724,62;08/07/2016;08/07/2016
1;1;Usina A;1;SONHO AZUL;1;A;1;104;44;183;CTC 9001;1;Precoce;2;2. Corte;846;Solo 846;Solo 846;0;;;;36,4;15,92;15,92;1273,6;08/07/2016;08/07/2016
1;1;Usina A;1;SONHO AZUL;1;A;1;104;45;183;CTC 9001;1;Precoce;2;2. Corte;846;Solo 846;Solo 846;0;;;;36,4;12,41;12,41;992,8;08/07/2016;08/07/2016
1;1;Usina A;1;SONHO AZUL;1;A;1;104;46;183;CTC 9001;1;Precoce;2;2. Corte;846;Solo 846;Solo 846;0;;;;36,4;9,23;9,23;738,4;08/07/2016;08/07/2016
1;1;Usina A;1;SONHO AZUL;1;A;1;104;47;183;CTC 9001;1;Precoce;2;2. Corte;846;Solo 846;Solo 846;0;;;;36,4;23,14;23,14;1851,2;08/07/2016;08/07/2016
1;1;Usina A;1;SONHO AZUL;1;A;1;104;53;183;CTC 9001;1;Precoce;2;2. Corte;846;Solo 846;Solo 846;0;;;;36,4;15,27;15,27;1221,6;08/07/2016;08/07/2016
1;1;Usina A;1;SONHO AZUL;1;A;1;104;73;183;CTC 9001;1;Precoce;2;2. Corte;846;Solo 846;Solo 846;0;;;;36,4;21,16;21,16;1650,48;08/07/2016;08/07/2016
1;1;Usina A;1;SONHO AZUL;1;A;1;120;998;223;A PREPARAR;1;Precoce;0;Cana Planta;846;Solo 846;Solo 846;0;;;;0;0;0;0;08/07/2016;08/07/2016
1;1;Usina A;2;SAO CRISTOVAO;1;A;1;101;11;33;RB92 579;1;Precoce;1;1. Corte;786;Solo 786;Solo 786;0;;;;5;12,55;12,55;1631,5;08/07/2016;08/07/2016
1;1;Usina A;2;SAO CRISTOVAO;1;A;1;101;21;33;RB92 579;1;Precoce;1;1. Corte;786;Solo 786;Solo 786;0;;;;11,5;5,29;5,29;687,7;08/07/2016;08/07/2016
1;1;Usina A;2;SAO CRISTOVAO;1;A;1;101;22;33;RB92 579;1;Precoce;1;1. Corte;786;Solo 786;Solo 786;0;;;;11,5;23,97;23,97;3116,1;08/07/2016;08/07/2016
1;1;Usina A;2;SAO CRISTOVAO;1;A;1;101;31;33;RB92 579;1;Precoce;1;1. Corte;786;Solo 786;Solo 786;0;;;;11,5;22,31;22,31;2900,3;08/07/2016;08/07/2016
1;1;Usina A;2;SAO CRISTOVAO;1;A;1;101;32;33;RB92 579;1;Precoce;1;1. Corte;786;Solo 786;Solo 786;0;;;;11,5;22,94;22,94;2982,2;08/07/2016;08/07/2016
1;1;Usina A;2;SAO CRISTOVAO;1;A;1;111;863;223;A PREPARAR;1;Precoce;1;1. Corte;999;Solo 999;Solo 999;0;;;;0;0;0;0;08/07/2016;08/07/2016
1;1;Usina A;2;SAO CRISTOVAO;1;A;1;111;997;223;A PREPARAR;1;Precoce;1;1. Corte;999;Solo 999;Solo 999;0;;;;0;0;0;0;08/07/2016;08/07/2016
1;1;Usina A;2;SAO CRISTOVAO;1;A;1;111;999;223;A PREPARAR;1;Precoce;2;2. Corte;999;Solo 999;Solo 999;0;;;;11,5;0;0;0;08/07/2016;08/07/2016
1;1;Usina A;2;SAO CRISTOVAO;1;A;1;120;998;223;A PREPARAR;1;Precoce;0;Cana Planta;786;Solo 786;Solo 786;0;;;;0;0;0;0;08/07/2016;08/07/2016
1;1;Usina A;3;ETN ALVORADA (TAKASHI);1;A;1;101;11;33;RB92 579;1;Precoce;2;2. Corte;846;Solo 846;Solo 846;0;;;;25,6;34,5;34,5;3105;08/07/2016;08/07/2016
1;1;Usina A;3;ETN ALVORADA (TAKASHI);1;A;1;101;12;33;RB92 579;1;Precoce;2;2. Corte;846;Solo 846;Solo 846;0;;;;25,6;34,52;34,52;3106,8;08/07/2016;08/07/2016
1;1;Usina A;3;ETN ALVORADA (TAKASHI);1;A;1;101;13;33;RB92 579;1;Precoce;2;2. Corte;846;Solo 846;Solo 846;0;;;;25,6;5,34;5,34;480,6;08/07/2016;08/07/2016
1;1;Usina A;3;ETN ALVORADA (TAKASHI);1;A;1;102;21;33;RB92 579;1;Precoce;1;1. Corte;846;Solo 846;Solo 846;0;;;;30;11,69;11,69;1052,1;08/07/2016;08/07/2016
1;1;Usina A;3;ETN ALVORADA (TAKASHI);1;A;1;102;22;33;RB92 579;1;Precoce;1;1. Corte;846;Solo 846;Solo 846;0;;;;30;27,26;27,26;2453,4;08/07/2016;08/07/2016
1;1;Usina A;3;ETN ALVORADA (TAKASHI);1;A;1;102;23;33;RB92 579;1;Precoce;1;1. Corte;846;Solo 846;Solo 846;0;;;;30;14,16;14,16;1274,4;08/07/2016;08/07/2016
1;1;Usina A;3;ETN ALVORADA (TAKASHI);1;A;1;102;233;33;RB92 579;1;Precoce;1;1. Corte;846;Solo 846;Solo 846;0;;;;30;6,01;6,01;540,9;08/07/2016;08/07/2016
1;1;Usina A;3;ETN ALVORADA (TAKASHI);1;A;1;120;31;213;SALDO A PLANTAR;1;Precoce;0;Cana Planta;846;Solo 846;Solo 846;0;;;;0;0;0;0;08/07/2016;08/07/2016
1;1;Usina A;3;ETN ALVORADA (TAKASHI);1;A;1;120;32;213;SALDO A PLANTAR;1;Precoce;0;Cana Planta;846;Solo 846;Solo 846;0;;;;0;0;0;0;08/07/2016;08/07/2016
1;1;Usina A;3;ETN ALVORADA (TAKASHI);1;A;1;120;33;213;SALDO A PLANTAR;1;Precoce;0;Cana Planta;846;Solo 846;Solo 846;0;;;;0;0;0;0;08/07/2016;08/07/2016
1;1;Usina A;3;ETN ALVORADA (TAKASHI);1;A;1;120;998;213;SALDO A PLANTAR;1;Precoce;0;Cana Planta;846;Solo 846;Solo 846;0;;;;0;0;0;0;08/07/2016;08/07/2016
1;1;Usina A;4;SÍTIO VIVEIROS;1;A;1;101;11;96;CTC 9004;1;Precoce;3;3. Corte;847;Solo 847;Solo 847;0;;;;34,5;29,67;29,67;2521,95;08/07/2016;08/07/2016
1;1;Usina A;4;SÍTIO VIVEIROS;1;A;1;101;111;96;CTC 9004;1;Precoce;1;1. Corte;847;Solo 847;Solo 847;0;;;;34,5;0,34;0;0;08/07/2016;08/07/2016
1;1;Usina A;4;SÍTIO VIVEIROS;1;A;1;101;21;96;CTC 9004;1;Precoce;3;3. Corte;847;Solo 847;Solo 847;0;;;;34,5;26,24;26,24;2230,4;08/07/2016;08/07/2016
1;1;Usina A;4;SÍTIO VIVEIROS;1;A;1;101;211;96;CTC 9004;1;Precoce;1;1. Corte;847;Solo 847;Solo 847;0;;;;34,5;0,37;0;0;08/07/2016;08/07/2016
1;1;Usina A;4;SÍTIO VIVEIROS;1;A;1;101;31;96;CTC 9004;1;Precoce;2;2. Corte;847;Solo 847;Solo 847;0;;;;34,5;0,46;0,46;39,1;08/07/2016;08/07/2016
1;1;Usina A;4;SÍTIO VIVEIROS;1;A;1;120;998;223;A PREPARAR;1;Precoce;0;Cana Planta;847;Solo 847;Solo 847;0;;;;0;0;0;0;08/07/2016;08/07/2016
1;1;Usina A;5;NOVILHO DE PRATA;1;A;1;101;11;183;CTC 9001;1;Precoce;1;1. Corte;846;Solo 846;Solo 846;0;;;;29,6;26,33;26,33;2238,05;08/07/2016;08/07/2016
1;1;Usina A;5;NOVILHO DE PRATA;1;A;1;101;21;183;CTC 9001;1;Precoce;1;1. Corte;846;Solo 846;Solo 846;0;;;;29,6;9,42;9,42;800,7;08/07/2016;08/07/2016
1;1;Usina A;5;NOVILHO DE PRATA;1;A;1;101;22;183;CTC 9001;1;Precoce;1;1. Corte;846;Solo 846;Solo 846;0;;;;29,6;34,33;34,33;2918,05;08/07/2016;08/07/2016
1;1;Usina A;5;NOVILHO DE PRATA;1;A;1;120;111;213;SALDO A PLANTAR;1;Precoce;1;1. Corte;846;Solo 846;Solo 846;0;;;;29,6;1,69;0;0;08/07/2016;08/07/2016
1;1;Usina A;5;NOVILHO DE PRATA;1;A;1;120;211;213;SALDO A PLANTAR;1;Precoce;1;1. Corte;846;Solo 846;Solo 846;0;;;;29,4;0,92;0;0;08/07/2016;08/07/2016
1;1;Usina A;5;NOVILHO DE PRATA;1;A;1;120;998;213;SALDO A PLANTAR;1;Precoce;0;Cana Planta;846;Solo 846;Solo 846;0;;;;0;0;0;0;08/07/2016;08/07/2016
1;1;Usina A;6;SÍTIO SÃO VALENTIN (DINACIR);1;A;1;101;11;183;CTC 9001;1;Precoce;1;1. Corte;846;Solo 846;Solo 846;0;;;;28,8;19,68;19,68;1436,64;08/07/2016;08/07/2016
1;1;Usina A;6;SÍTIO SÃO VALENTIN (DINACIR);1;A;1;101;12;183;CTC 9001;1;Precoce;1;1. Corte;846;Solo 846;Solo 846;0;;;;28,8;26,65;26,65;1945,45;08/07/2016;08/07/2016
1;1;Usina A;6;SÍTIO SÃO VALENTIN (DINACIR);1;A;1;120;998;223;A PREPARAR;1;Precoce;0;Cana Planta;846;Solo 846;Solo 846;0;;;;0;0;0;0;08/07/2016;08/07/2016
1;1;Usina A;7;STO SÃO CAETANO E SÃO JORGE;1;A;1;101;11;183;CTC 9001;1;Precoce;1;1. Corte;846;Solo 846;Solo 846;0;;;;21,6;17,59;17,59;1284,07;08/07/2016;08/07/2016
1;1;Usina A;7;STO SÃO CAETANO E SÃO JORGE;1;A;1;101;12;183;CTC 9001;1;Precoce;1;1. Corte;846;Solo 846;Solo 846;0;;;;21,6;24,05;24,05;1755,65;08/07/2016;08/07/2016
1;1;Usina A;7;STO SÃO CAETANO E SÃO JORGE;1;A;1;101;21;183;CTC 9001;1;Precoce;1;1. Corte;846;Solo 846;Solo 846;0;;;;21,6;26,94;26,94;1966,62;08/07/2016;08/07/2016
1;1;Usina A;7;STO SÃO CAETANO E SÃO JORGE;1;A;1;101;22;183;CTC 9001;1;Precoce;1;1. Corte;846;Solo 846;Solo 846;0;;;;21,6;34,67;34,67;2530,91;08/07/2016;08/07/2016
1;1;Usina A;7;STO SÃO CAETANO E SÃO JORGE;1;A;1;101;31;183;CTC 9001;1;Precoce;1;1. Corte;846;Solo 846;Solo 846;0;;;;21,6;12,99;12,99;948,27;08/07/2016;08/07/2016
1;1;Usina A;7;STO SÃO CAETANO E SÃO JORGE;1;A;1;120;998;223;A PREPARAR;1;Precoce;0;Cana Planta;846;Solo 846;Solo 846;0;;;;0;0;0;0;08/07/2016;08/07/2016
1;1;Usina A;8;ADRIANA (DILMA);1;A;1;101;11;8;CTC 4;1;Precoce;1;1. Corte;786;Solo 786;Solo 786;0;;;;24,7;23,94;23,94;3591;08/07/2016;08/07/2016
1;1;Usina A;8;ADRIANA (DILMA);1;A;1;101;21;8;CTC 4;1;Precoce;1;1. Corte;786;Solo 786;Solo 786;0;;;;24,7;27,82;27,82;4173;08/07/2016;08/07/2016
1;1;Usina A;8;ADRIANA (DILMA);1;A;1;101;22;8;CTC 4;1;Precoce;1;1. Corte;786;Solo 786;Solo 786;0;;;;24,7;6,35;6,35;952,5;08/07/2016;08/07/2016
1;1;Usina A;8;ADRIANA (DILMA);1;A;1;101;31;8;CTC 4;1;Precoce;1;1. Corte;786;Solo 786;Solo 786;0;;;;24,7;32,96;32,96;4944;08/07/2016;08/07/2016
1;1;Usina A;8;ADRIANA (DILMA);1;A;1;101;32;8;CTC 4;1;Precoce;1;1. Corte;786;Solo 786;Solo 786;0;;;;24,7;0,47;0,47;70,5;08/07/2016;08/07/2016
1;1;Usina A;8;ADRIANA (DILMA);1;A;1;101;33;8;CTC 4;1;Precoce;1;1. Corte;786;Solo 786;Solo 786;0;;;;24,7;0,04;0,04;6;08/07/2016;08/07/2016
1;1;Usina A;8;ADRIANA (DILMA);1;A;1;101;41;8;CTC 4;1;Precoce;1;1. Corte;786;Solo 786;Solo 786;0;;;;24,7;8,83;8,83;1324,5;08/07/2016;08/07/2016
1;1;Usina A;8;ADRIANA (DILMA);1;A;1;120;311;213;SALDO A PLANTAR;1;Precoce;1;1. Corte;786;Solo 786;Solo 786;0;;;;24,7;0,57;0;0;08/07/2016;08/07/2016
1;1;Usina A;8;ADRIANA (DILMA);1;A;1;120;411;213;SALDO A PLANTAR;1;Precoce;0;Cana Planta;786;Solo 786;Solo 786;0;;;;24,7;0,29;0;0;08/07/2016;08/07/2016
1;1;Usina A;8;ADRIANA (DILMA);1;A;1;120;998;213;SALDO A PLANTAR;1;Precoce;0;Cana Planta;846;Solo 846;Solo 846;0;;;;0;0;0;0;08/07/2016;08/07/2016
1;1;Usina A;9;ADRIANA (DJALMA);1;A;1;101;11;8;CTC 4;1;Precoce;1;1. Corte;846;Solo 846;Solo 846;2;B;2;1,1;36;20,57;20,57;3085,5;08/07/2016;08/07/2016
1;1;Usina A;9;ADRIANA (DJALMA);1;A;1;101;21;8;CTC 4;1;Precoce;1;1. Corte;846;Solo 846;Solo 846;0;;0;;24,7;1245;55,39;8308,5;08/07/2016;08/07/2016
1;1;Usina A;9;ADRIANA (DJALMA);1;A;1;101;22;8;CTC 4;1;Precoce;1;1. Corte;846;Solo 846;Solo 846;0;;;;24,7;3,3;3,3;495;08/07/2016;08/07/2016
1;1;Usina A;9;ADRIANA (DJALMA);1;A;1;101;31;8;CTC 4;1;Precoce;1;1. Corte;846;Solo 846;Solo 846;0;;0;;24,7;24,29;25;3643,5;08/07/2016;08/07/2016
1;1;Usina A;9;ADRIANA (DJALMA);1;A;1;101;41;8;CTC 4;1;Precoce;1;1. Corte;846;Solo 846;Solo 846;0;;;;24,7;4,15;4,15;622,5;08/07/2016;08/07/2016
1;1;Usina A;9;ADRIANA (DJALMA);1;A;1;120;311;213;SALDO A PLANTAR;1;Precoce;0;Cana Planta;846;Solo 846;Solo 846;0;;;;24,7;0,73;0;0;08/07/2016;08/07/2016
1;1;Usina A;9;ADRIANA (DJALMA);1;A;1;120;411;213;SALDO A PLANTAR;1;Precoce;1;1. Corte;846;Solo 846;Solo 846;0;;;;24,7;0,2;0;0;08/07/2016;08/07/2016
1;1;Usina A;9;ADRIANA (DJALMA);1;A;1;120;998;213;SALDO A PLANTAR;1;Precoce;0;Cana Planta;846;Solo 846;Solo 846;0;;;;0;0;0;0;08/07/2016;08/07/2016
1;1;Usina A;10;SÍTIO GLEBA NOVA;1;A;1;101;11;96;CTC 9004;1;Precoce;2;2. Corte;786;Solo 786;Solo 786;0;;;;13,6;15,09;15,09;1810,8;08/07/2016;08/07/2016
1;1;Usina A;10;SÍTIO GLEBA NOVA;1;A;1;101;111;96;CTC 9004;1;Precoce;1;1. Corte;786;Solo 786;Solo 786;0;;;;13,6;0,83;0,83;83;08/07/2016;08/07/2016
1;1;Usina A;10;SÍTIO GLEBA NOVA;1;A;1;101;21;96;CTC 9004;1;Precoce;2;2. Corte;786;Solo 786;Solo 786;0;;;;13,6;15,48;15,48;1548;08/07/2016;08/07/2016
1;1;Usina A;10;SÍTIO GLEBA NOVA;1;A;1;101;22;96;CTC 9004;1;Precoce;2;2. Corte;786;Solo 786;Solo 786;0;;;;13,6;11,48;11,48;1148;08/07/2016;08/07/2016
1;1;Usina A;10;SÍTIO GLEBA NOVA;1;A;1;101;23;96;CTC 9004;1;Precoce;2;2. Corte;786;Solo 786;Solo 786;0;;;;13,6;0,59;0,59;59;08/07/2016;08/07/2016
1;1;Usina A;10;SÍTIO GLEBA NOVA;1;A;1;101;233;96;CTC 9004;1;Precoce;1;1. Corte;786;Solo 786;Solo 786;0;;;;13,6;2,37;2,37;237;08/07/2016;08/07/2016
1;1;Usina A;10;SÍTIO GLEBA NOVA;1;A;1;101;31;96;CTC 9004;1;Precoce;2;2. Corte;786;Solo 786;Solo 786;0;;;;13,6;4,56;4,56;456;08/07/2016;08/07/2016
1;1;Usina A;10;SÍTIO GLEBA NOVA;1;A;1;101;311;96;CTC 9004;1;Precoce;1;1. Corte;786;Solo 786;Solo 786;0;;;;13,6;7,37;7,37;737;08/07/2016;08/07/2016
1;1;Usina A;10;SÍTIO GLEBA NOVA;1;A;1;101;32;96;CTC 9004;1;Precoce;2;2. Corte;786;Solo 786;Solo 786;0;;;;13,6;2,98;2,98;298;08/07/2016;08/07/2016
1;1;Usina A;10;SÍTIO GLEBA NOVA;1;A;1;101;322;96;CTC 9004;1;Precoce;1;1. Corte;786;Solo 786;Solo 786;0;;;;13,6;6,36;6,36;636;08/07/2016;08/07/2016
1;1;Usina A;10;SÍTIO GLEBA NOVA;1;A;1;120;998;223;A PREPARAR;1;Precoce;0;Cana Planta;845;Solo 845;Solo 845;0;;;;0;0;0;0;08/07/2016;08/07/2016
1;1;Usina A;11;SÍTIO IRMÃ;1;A;1;101;11;96;CTC 9004;1;Precoce;1;1. Corte;709;Solo 709;Solo 709;0;;;;16;23,76;23,76;2376;08/07/2016;08/07/2016
1;1;Usina A;11;SÍTIO IRMÃ;1;A;1;101;12;96;CTC 9004;1;Precoce;1;1. Corte;709;Solo 709;Solo 709;0;;;;16;15,84;15,84;1584;08/07/2016;08/07/2016
1;1;Usina A;11;SÍTIO IRMÃ;1;A;1;101;13;96;CTC 9004;1;Precoce;1;1. Corte;709;Solo 709;Solo 709;0;;;;16;6,06;6,06;606;08/07/2016;08/07/2016
1;1;Usina A;11;SÍTIO IRMÃ;1;A;1;101;21;96;CTC 9004;1;Precoce;1;1. Corte;709;Solo 709;Solo 709;0;;;;16;22,09;22,09;2209;08/07/2016;08/07/2016
1;1;Usina A;11;SÍTIO IRMÃ;1;A;1;101;31;96;CTC 9004;1;Precoce;1;1. Corte;709;Solo 709;Solo 709;0;;;;16;2,02;2,02;202;08/07/2016;08/07/2016
1;1;Usina A;11;SÍTIO IRMÃ;1;A;1;120;998;223;A PREPARAR;1;Precoce;0;Cana Planta;845;Solo 845;Solo 845;0;;;;0;0;0;0;08/07/2016;08/07/2016
1;1;Usina A;12;SANTA JOSEFA;1;A;1;101;111;33;RB92 579;1;Precoce;1;1. Corte;847;Solo 847;Solo 847;0;;;;56,8;4,82;4,82;626,6;08/07/2016;08/07/2016
1;1;Usina A;12;SANTA JOSEFA;1;A;1;101;112;33;RB92 579;1;Precoce;1;1. Corte;847;Solo 847;Solo 847;0;;;;56,8;8,48;8,48;1102,4;08/07/2016;08/07/2016
1;1;Usina A;12;SANTA JOSEFA;1;A;1;101;113;33;RB92 579;1;Precoce;1;1. Corte;847;Solo 847;Solo 847;0;;;;56,8;7,57;7,57;984,1;08/07/2016;08/07/2016
1;1;Usina A;12;SANTA JOSEFA;1;A;1;101;121;33;RB92 579;1;Precoce;1;1. Corte;847;Solo 847;Solo 847;0;;;;56,8;3,71;3,71;482,3;08/07/2016;08/07/2016
1;1;Usina A;12;SANTA JOSEFA;1;A;1;101;122;33;RB92 579;1;Precoce;1;1. Corte;847;Solo 847;Solo 847;0;;;;56,8;11,22;11,22;1458,6;08/07/2016;08/07/2016
1;1;Usina A;12;SANTA JOSEFA;1;A;1;101;123;33;RB92 579;1;Precoce;1;1. Corte;847;Solo 847;Solo 847;0;;;;56,8;16,34;16,34;2124,2;08/07/2016;08/07/2016
1;1;Usina A;12;SANTA JOSEFA;1;A;1;101;124;33;RB92 579;1;Precoce;1;1. Corte;847;Solo 847;Solo 847;0;;;;56,8;11,33;11,33;1472,9;08/07/2016;08/07/2016
1;1;Usina A;12;SANTA JOSEFA;1;A;1;101;131;33;RB92 579;1;Precoce;1;1. Corte;847;Solo 847;Solo 847;0;;;;56,8;16,47;16,47;2141,1;08/07/2016;08/07/2016
1;1;Usina A;12;SANTA JOSEFA;1;A;1;102;11;33;RB92 579;1;Precoce;1;1. Corte;847;Solo 847;Solo 847;0;;;;57,5;2,61;2,61;339,3;08/07/2016;08/07/2016
1;1;Usina A;12;SANTA JOSEFA;1;A;1;102;12;33;RB92 579;1;Precoce;1;1. Corte;847;Solo 847;Solo 847;0;;;;57,5;3,45;3,45;448,5;08/07/2016;08/07/2016
1;1;Usina A;12;SANTA JOSEFA;1;A;1;102;21;33;RB92 579;1;Precoce;1;1. Corte;847;Solo 847;Solo 847;0;;;;57,5;7,05;7,05;916,5;08/07/2016;08/07/2016
1;1;Usina A;12;SANTA JOSEFA;1;A;1;102;210;33;RB92 579;1;Precoce;1;1. Corte;847;Solo 847;Solo 847;0;;;;57,5;8,97;8,97;1166,1;08/07/2016;08/07/2016
1;1;Usina A;12;SANTA JOSEFA;1;A;1;102;211;33;RB92 579;1;Precoce;1;1. Corte;847;Solo 847;Solo 847;0;;;;57,5;13,56;13,56;1762,8;08/07/2016;08/07/2016
1;1;Usina A;12;SANTA JOSEFA;1;A;1;102;212;33;RB92 579;1;Precoce;1;1. Corte;847;Solo 847;Solo 847;0;;;;57,5;15,93;15,93;2070,9;08/07/2016;08/07/2016
1;1;Usina A;12;SANTA JOSEFA;1;A;1;102;213;33;RB92 579;1;Precoce;1;1. Corte;847;Solo 847;Solo 847;0;;;;57,5;2,48;2,48;322,4;08/07/2016;08/07/2016
1;1;Usina A;12;SANTA JOSEFA;1;A;1;102;22;33;RB92 579;1;Precoce;1;1. Corte;847;Solo 847;Solo 847;0;;;;57,5;7,23;7,23;939,9;08/07/2016;08/07/2016
1;1;Usina A;12;SANTA JOSEFA;1;A;1;102;23;33;RB92 579;1;Precoce;1;1. Corte;847;Solo 847;Solo 847;0;;;;57,5;1,57;1,57;204,1;08/07/2016;08/07/2016
1;1;Usina A;12;SANTA JOSEFA;1;A;1;102;24;33;RB92 579;1;Precoce;1;1. Corte;847;Solo 847;Solo 847;0;;;;57,5;2,46;2,46;319,8;08/07/2016;08/07/2016
1;1;Usina A;12;SANTA JOSEFA;1;A;1;102;25;33;RB92 579;1;Precoce;1;1. Corte;847;Solo 847;Solo 847;0;;;;57,5;17,38;17,38;2259,4;08/07/2016;08/07/2016
